timestamp,retrieved,channel,kind,detail,clock_ok
,2023-09-21,in,restart_marker,line 6,0
,2023-09-21,in,restart_marker,line 8,0
,2023-09-21,in,restart_marker,line 9,0
,2023-09-21,out,restart_marker,line 32,0
,2023-09-21,out,restart_marker,line 54,0
,2023-09-21,out,restart_marker,line 74,0
,2023-09-21,out,restart_marker,line 1,0
,2023-09-21,out,restart_marker,line 43,0
,2023-09-21,out,restart_marker,line 78,0
,2023-09-21,out,restart_marker,line 22,0
,2023-09-21,out,restart_marker,line 63,0
,2023-09-21,out,restart_marker,line 76,0
,2023-09-21,out,restart_marker,line 11,0
,2023-09-21,tandh1,restart_marker,line 9825,0
,2023-09-21,tandh1,restart_marker,line 9827,0
,2023-09-21,tandh1,restart_marker,line 9826,0
,2023-10-02,err,restart_marker,line 102,0
,2023-10-02,err,restart_marker,line 101,0
,2023-10-02,err,restart_marker,line 497,0
,2023-10-02,err,restart_marker,line 573,0
,2023-10-02,err,restart_marker,line 256,0
,2023-10-02,err,restart_marker,line 678,0
,2023-10-02,err,restart_marker,line 1,0
,2023-10-02,err,restart_marker,line 675,0
,2023-10-02,err,restart_marker,line 100,0
,2023-10-02,err,restart_marker,line 395,0
,2023-10-02,err,restart_marker,line 659,0
,2023-10-02,err,restart_marker,line 194,0
,2023-10-02,in,restart_marker,line 9,0
,2023-10-02,in,restart_marker,line 11,0
,2023-10-02,in,restart_marker,line 8,0
,2023-10-02,in,restart_marker,line 4,0
,2023-10-02,in,restart_marker,line 14,0
,2023-10-02,in,restart_marker,line 2,0
,2023-10-02,in,restart_marker,line 3,0
,2023-10-02,in,restart_marker,line 13,0
,2023-10-02,in,restart_marker,line 10,0
,2023-10-02,in,restart_marker,line 1,0
,2023-10-02,in,restart_marker,line 5,0
,2023-10-02,in,restart_marker,line 12,0
,2023-10-02,in,restart_marker,line 7,0
,2023-10-02,in,restart_marker,line 6,0
,2023-10-02,out,restart_marker,line 27,0
,2023-10-02,out,restart_marker,line 12,0
,2023-10-02,out,restart_marker,line 60,0
,2023-10-02,out,restart_marker,line 71,0
,2023-10-02,out,restart_marker,line 16,0
,2023-10-02,out,restart_marker,line 49,0
,2023-10-02,out,restart_marker,line 110,0
,2023-10-02,out,restart_marker,line 109,0
,2023-10-02,out,restart_marker,line 14,0
,2023-10-02,out,restart_marker,line 100,0
,2023-10-02,out,restart_marker,line 38,0
,2023-10-02,out,restart_marker,line 1,0
,2023-10-02,out,restart_marker,line 91,0
,2023-10-02,out,restart_marker,line 82,0
,2023-10-11,err,restart_marker,line 651,0
,2023-10-11,err,restart_marker,line 679,0
,2023-10-11,err,restart_marker,line 670,0
,2023-10-11,err,restart_marker,line 284,0
,2023-10-11,err,restart_marker,line 1,0
,2023-10-11,err,restart_marker,line 177,0
,2023-10-11,err,restart_marker,line 95,0
,2023-10-11,err,restart_marker,line 678,0
,2023-10-11,err,restart_marker,line 382,0
,2023-10-11,err,restart_marker,line 384,0
,2023-10-11,err,restart_marker,line 675,0
,2023-10-11,err,restart_marker,line 487,0
,2023-10-11,in,restart_marker,line 11,0
,2023-10-11,in,restart_marker,line 1,0
,2023-10-11,in,restart_marker,line 10,0
,2023-10-11,in,restart_marker,line 6,0
,2023-10-11,in,restart_marker,line 7,0
,2023-10-11,in,restart_marker,line 3,0
,2023-10-11,in,restart_marker,line 8,0
,2023-10-11,in,restart_marker,line 5,0
,2023-10-11,in,restart_marker,line 4,0
,2023-10-11,in,restart_marker,line 2,0
,2023-10-11,in,restart_marker,line 12,0
,2023-10-11,in,restart_marker,line 9,0
,2023-10-11,out,restart_marker,line 58,0
,2023-10-11,out,restart_marker,line 47,0
,2023-10-11,out,restart_marker,line 96,0
,2023-10-11,out,restart_marker,line 78,0
,2023-10-11,out,restart_marker,line 12,0
,2023-10-11,out,restart_marker,line 97,0
,2023-10-11,out,restart_marker,line 34,0
,2023-10-11,out,restart_marker,line 69,0
,2023-10-11,out,restart_marker,line 23,0
,2023-10-11,out,restart_marker,line 45,0
,2023-10-11,out,restart_marker,line 87,0
,2023-10-11,out,restart_marker,line 1,0
,2023-10-11,tandh1,restart_marker,line 9787,0
,2023-10-18,err,restart_marker,line 588,0
,2023-10-18,err,restart_marker,line 593,0
,2023-10-18,err,restart_marker,line 458,0
,2023-10-18,err,restart_marker,line 592,0
,2023-10-18,err,restart_marker,line 591,0
,2023-10-18,err,restart_marker,line 663,0
,2023-10-18,err,restart_marker,line 664,0
,2023-10-18,err,restart_marker,line 1,0
,2023-10-18,err,restart_marker,line 587,0
,2023-10-18,err,restart_marker,line 665,0
,2023-10-18,err,restart_marker,line 97,0
,2023-10-18,in,restart_marker,line 2,0
,2023-10-18,in,restart_marker,line 1,0
